Episode,Timestep,Action
68,2,"[[ 1.7535756e+00 -1.5401697e-01 -2.3827510e+00 -3.2603556e-01
  -1.3247471e+00 -3.9304843e+00 -4.6793193e-01  1.2983681e+00
   1.4914182e+00 -2.9613376e-02 -1.2308222e+00  1.2125533e+00
  -7.5113660e-01 -3.8669455e-01 -2.9090314e+00  1.5472418e+00
  -1.4128554e-01 -9.6349478e-02 -1.0758165e+00 -3.5920334e-01
   7.8116369e-01  2.9346794e-03 -1.4292505e+00  1.2399112e+00]]"
69,2,"[[ 0.626976    0.7518581  -1.7431762  -0.12285708 -1.3727825  -3.8811631
   0.0622462   0.48007852  3.1771383  -1.8564568   0.58671224  0.3629899
  -0.7929164   1.782032   -2.2578967   1.5082955  -1.4081124  -0.7798395
  -1.1428764  -0.46346396 -0.5040679   0.05387075 -0.7027423   1.0735962 ]]"
70,2,"[[ 1.3506807   0.12277475 -1.9917364   0.5555129  -1.3869573  -4.8678284
  -0.26637703  0.7795452   1.846337   -0.5618087   0.04371414  0.82587636
  -0.32612133  1.6100881  -2.0772157   1.7485785  -0.10797054 -0.83706355
  -0.88491726 -1.3745795  -0.25475422  0.27783513 -0.6466731   2.2129452 ]]"
71,2,"[[ 1.1338605   2.0134618  -2.3826547   0.3137538  -1.3086349  -4.4766984
  -0.19250388  0.9599335   1.2561547   0.03992051 -0.8287743  -0.59945995
  -0.27880055  2.3675675   0.2692926   2.3394353  -0.67322636 -0.8161168
  -1.4484391  -1.2609644   0.37471697  0.3481557  -1.5406586   1.2341751 ]]"
72,2,"[[ 2.073988    0.09197986 -1.3219366  -0.10888325 -1.2298641  -5.0444117
  -0.8856272   2.7514248   2.3994918  -0.19894204  0.19648147  1.4071066
  -1.4152956   0.0160737  -1.1441115   1.8288592  -0.11487648 -1.4586034
  -1.1894693  -1.4340863  -0.09612783  0.10622242  0.5224898   1.4709598 ]]"
73,2,"[[ 1.3474472   0.48770684 -2.725297    0.24007612 -1.7860513  -4.246603
  -0.64722157  0.06060672  1.4049493  -0.23814133 -0.300085   -0.07176292
  -0.841763    1.1265781  -0.48752898  1.562559    0.31766754 -1.5768492
  -0.8959673  -1.5212197  -0.4624323   0.33098343 -0.19095412  0.8241503 ]]"
74,2,"[[ 0.6936636   0.6054858  -1.1249208   0.977958   -1.256094   -5.021634
  -1.4048651   0.5457413   2.1179495  -0.35749054 -0.8072918   0.4705511
  -1.524074    1.0376532  -1.7697855   1.2999573  -0.25376493 -2.0417838
  -1.1466979  -1.7503173  -0.08371902  1.1715546  -0.71682817  1.0778022 ]]"
75,2,"[[ 1.2703769   1.1779734  -2.4574058  -0.2931152  -0.5048598  -4.7055006
  -0.36610857  0.873924    2.1071448  -0.9922737  -0.89237994  1.3533447
  -1.0176913   2.409752   -0.09286809  0.97046524  0.3720419  -2.1678917
  -0.5420158  -0.39813322  0.03919183 -0.61484367 -0.9798045   1.8512745 ]]"
76,2,"[[ 0.77194023  1.0785342  -2.6120174   0.02807494 -0.7743807  -4.546546
   0.5671331   1.783308    1.5311466  -0.20549446 -0.7357122   0.927011
  -1.0563561   1.863935   -0.8697088   1.8931882  -1.539991   -0.9219432
   0.22476405 -1.9437428   0.5484686   0.1749422  -0.85058326  1.6367239 ]]"
77,2,"[[ 0.932458    1.475327   -1.3026106  -0.08817793 -2.219123   -4.607325
   0.19719028  1.2285601   2.3413403   0.01409131  0.35338557  1.4132032
  -0.584047    2.386619   -0.8544105   2.0151014  -0.21802197 -1.5543373
  -0.8146609   0.64706445 -0.20014891  0.03451119 -0.8579286   1.8333381 ]]"
78,2,"[[ 1.0040135  -0.5081852  -3.350062    0.74171495 -1.0241491  -5.0729256
   0.7227022   1.9333813   1.2847867  -0.5801745  -0.7083783   1.3332086
  -0.86369216  0.37771583 -0.8022137   2.2121716   0.5240526  -1.0504413
  -0.12256724 -0.94870687 -0.7748234  -0.41277686 -0.35380694  1.859731  ]]"
